施設名称,緯度,経度,
鶴見消防署今津出張所,34.68828,135.56758,
鶴見消防署茨田出張所,34.70485971,135.585628,
天王寺消防署,34.65984,135.51859,
天王寺警察署,34.657553,135.5150968,
関目交番,34.7124734,135.5466385,
関目南交番,34.7069748,135.550057,
野江交番,34.7025442,135.5389363,
今福交番,34.6981665,135.5494352,
鴫野西交番,34.6929188,135.5380827,
鴫野東交番,34.6907938,135.5475467,
中浜交番,34.685894,135.5430387,
諏訪交番,34.6817078,135.5572283,
大阪府警察本部／関目別館,34.7140809,135.5532391,
城東消防署放出出張所,34.69535,135.55287,
城東消防署中浜出張所,34.68596,135.54564,
城東消防署関目出張所,34.71243,135.54227,
生野消防署,34.65043254,135.5399873,
生野警察署,34.6545282,135.5344142,
消防局庁舎,34.6701427,135.4737578,
西警察署,34.682017,135.4812443,
靱交番,34.6844299,135.4925644,
西本町交番,34.6821935,135.4979563,
立売堀交番,34.6804609,135.4845503,
新町交番,34.6760939,135.4863579,
九条交番,34.6755221,135.4737719,
松島交番,34.6758501,135.4783081,
堀江交番,34.6724347,135.4951098,
西成消防署,34.63577,135.49455,
西成警察署,34.6459892,135.5011081,
天下茶屋交番,34.6370831,135.4968002,
天下茶屋北交番,34.6421861,135.5003609,
岸里南交番,34.63079497,135.4928187,
玉出交番,34.626678,135.4938782,
鶴見橋交番,34.6460501,135.4863222,
南開交番,34.6508441,135.4904718,
千本交番,34.630422,135.4864833,
中津守交番,34.6408639,135.484142,
太子交番,34.64857874,135.5031359,
北門交番,34.6475311,135.5066078,
飛田交番,34.64405349,135.5033527,
萩之茶屋交番,34.64927517,135.4996747,
城東消防署,34.70273824,135.54583,
北消防署浮田出張所,34.7093168,135.5077998,
北消防署大淀町出張所,34.70796852,135.4872068,
北消防署与力出張所,34.70087394,135.5148631,
北消防署本庄出張所,34.71447,135.50626,
住之江消防署平林出張所,34.6134356,135.4472761,
住之江消防署加賀屋出張所,34.62149,135.48184,
住之江消防署南港出張所,34.62488973,135.4314418,
生野消防署勝山出張所,34.6544,135.53448,
生野消防署中川出張所,34.65908,135.54895,
生野消防署巽出張所,34.6496,135.55473,
西消防署新町出張所,34.67614,135.49651,
西消防署江戸堀出張所,34.68897,135.49236,
西成消防署海道出張所,34.6451,135.50174,
西成消防署津守出張所,34.6428841,135.4842687,
大正消防署泉尾出張所,34.66131,135.47543,
大正消防署鶴町出張所,34.64011,135.45561,
天王寺消防署元町出張所,34.6522133,135.5185481,
東成消防署中本出張所,34.67990396,135.5450341,
東成消防署深江出張所,34.67471,135.55721,
福島消防署上福島出張所,34.69348542,135.4820573,
福島消防署海老江出張所,34.69757354,135.47083,
平野消防署加美出張所,34.62585323,135.5651276,
平野消防署長吉出張所,34.60589,135.56801,
平野消防署喜連出張所,34.60991871,135.5478665,
平野消防署加美正覚寺出張所,34.63324,135.55927,
浪速消防署恵美須出張所,34.65485,135.50595,
浪速消防署立葉出張所,34.66373528,135.4890111,
浪速消防署浪速出張所,34.6548215,135.48819,
港消防署田中出張所,34.66252,135.4494,
千鳥橋交番,34.6852081,135.4585003,
伝法交番,34.6885609,135.4506135,
酉島交番,34.6824709,135.4367541,
西九条駅前交番,34.6818815,135.4666518,
ユニバーサルスタジオ前交番,34.6689191,135.4371004,
粉浜交番,34.6188943,135.4905823,
住之江駅前交番,34.6044839,135.4861801,
住吉公園前交番,34.612648,135.4900345,
中加賀屋交番,34.6189893,135.4820319,
南港コスモ交番,34.6423501,135.4135567,
南港中央交番,34.6323209,135.4295013,
平林交番,34.6110832,135.4557797,
生野西交番,34.6473501,135.5266548,
生野東交番,34.646188,135.5333632,
今里公園前交番,34.6623031,135.5468669,
巽西交番,34.6532886,135.547065,
巽東交番,34.6476848,135.5538778,
巽南交番,34.6425197,135.5505576,
鶴橋交番,34.6648751,135.5341878,
林寺交番,34.6424865,135.5387625,
腹見交番,34.6569689,135.561584,
桃谷交番,34.657901,135.5347571,
泉尾交番,34.6581719,135.4707481,
大浪橋交番,34.6631162,135.479665,
千島交番,34.6524879,135.4718099,
鶴町交番,34.6412194,135.4553007,
平尾交番,34.640474,135.4729378,
南恩加島交番,34.6337611,135.4686003,
神路交番,34.6743991,135.5541547,
新橋通交番,34.6655677,135.5416724,
新道橋交番,34.670338,135.5519435,
中道交番,34.6766472,135.537987,
中本交番,34.6743877,135.5408673,
東小橋交番,34.6663686,135.5326719,
弁天三丁目交番,34.6667229,135.4549342,
春日出交番,34.6791711,135.4459203,
高見交番,34.6916292,135.4583945,
三国駅前交番,34.7380572,135.4831031,
野中交番,34.7263751,135.4826719,
東三国交番,34.746951,135.4965071,
三国本町交番,34.7365129,135.4877182,
